"","x"
"1",-8.06611468502047e-06
"2",-6.25069960006883e-06
"3",2.5179069748524e-05
"4",2.53765293208488e-05
"5",1.57856902964137e-05
"6",2.75851056600012e-05
"7",1.27693243262962e-05
"8",1.43931229395946e-05
"9",1.37110360009044e-05
"10",1.73003200900819e-05
"11",1.10458069674473e-05
"12",1.93866880459754e-05
"13",1.41335912196045e-05
"14",1.07755540065831e-05
"15",8.82964027600036e-06
"16",5.17426424961049e-06
"17",5.70828241699007e-06
"18",1.09541184143896e-05
"19",8.5300132399365e-07
"20",1.48036460425852e-06
"21",1.847000300079e-06
"22",-3.46626816781687e-06
"23",-1.29270777833147e-06
"24",-6.25711696106535e-07
"25",4.27480358054706e-06
